user_id,event_type,timestamp,country
1,login,2026-01-01 09:00:00,India
1,logout,2026-01-01 09:30:00,India
2,login,2026-01-01 09:05:00,USA
2,logout,2026-01-01 09:35:00,USA
3,login,2026-01-01 09:10:00,UK
3,logout,2026-01-01 09:45:00,UK
4,login,2026-01-01 09:15:00,Canada
4,logout,2026-01-01 09:50:00,Canada
5,login,2026-01-01 09:20:00,India
5,logout,2026-01-01 09:55:00,India
6,login,2026-01-02 09:00:00,USA
6,logout,2026-01-02 09:25:00,USA
7,login,2026-01-02 09:05:00,UK
7,logout,2026-01-02 09:40:00,UK
8,login,2026-01-02 09:10:00,Australia
8,logout,2026-01-02 09:45:00,Australia
9,login,2026-01-02 09:15:00,India
9,logout,2026-01-02 09:50:00,India
10,login,2026-01-02 09:20:00,USA
10,logout,2026-01-02 09:55:00,USA
11,login,2026-01-03 09:00:00,UK
11,logout,2026-01-03 09:30:00,UK
12,login,2026-01-03 09:05:00,Canada
12,logout,2026-01-03 09:40:00,Canada
13,login,2026-01-03 09:10:00,India
13,logout,2026-01-03 09:45:00,India
14,login,2026-01-03 09:15:00,USA
14,logout,2026-01-03 09:50:00,USA
15,login,2026-01-03 09:20:00,UK
15,logout,2026-01-03 09:55:00,UK
16,login,2026-01-04 09:00:00,India
16,logout,2026-01-04 09:35:00,India
17,login,2026-01-04 09:05:00,USA
17,logout,2026-01-04 09:40:00,USA
18,login,2026-01-04 09:10:00,Australia
18,logout,2026-01-04 09:45:00,Australia
19,login,2026-01-04 09:15:00,UK
19,logout,2026-01-04 09:50:00,UK
20,login,2026-01-04 09:20:00,Canada
20,logout,2026-01-04 09:55:00,Canada
21,login,2026-01-05 09:00:00,India
21,logout,2026-01-05 09:30:00,India
22,login,2026-01-05 09:05:00,USA
22,logout,2026-01-05 09:35:00,USA
23,login,2026-01-05 09:10:00,UK
23,logout,2026-01-05 09:45:00,UK
24,login,2026-01-05 09:15:00,Canada
24,logout,2026-01-05 09:50:00,Canada
25,login,2026-01-05 09:20:00,India
25,logout,2026-01-05 09:55:00,India
26,login,2026-01-06 09:00:00,USA
26,logout,2026-01-06 09:30:00,USA
27,login,2026-01-06 09:05:00,UK
27,logout,2026-01-06 09:40:00,UK
